Denominazione,Indirizzo,Coordinate
001 - Parco Borgo  S.Antonio,B.go S.Antonio - B.go S.Antonio,"13° 24' 07.34'' E, 45° 48' 05.90'' N"
002 - Piazzale dei Tigli,"S.Valentino - Via Gramsci, 8, 33059, Fiumicello Villa Vicentina","13° 24' 34.21'' E, 45° 47' 27.11'' N"
003 - Sede Protezione civile,Papariano - via Nazionale,"13° 24' 57.49'' E, 45° 48' 20.64'' N"
004 - Giardino polifunzionale S.Lorenzo,S.Lorenzo - Via S.Lorenzo,"13° 24' 32.57'' E, 45° 46' 28.63'' N"
005 - Area verde presso Villa Asiola,Borgo Pacco - Località Borgo Pacco,"13° 22' 49.39'' E, 45° 47' 52.82'' N"
006 - Ingresso Borgo Sandrigo,Borgo Sandrigo - Borgo Sandrigo,"13° 22' 38.13'' E, 45° 48' 22.35'' N"
007 - Area verde Borgo Candeletis,Borgo Candeletis - Borgo Candeletis,"13° 23' 06.67'' E, 45° 48' 50.70'' N"
008 - Area verde di via Matteotti e relativa area di parcheggio antistante,"Villa Vicentina zona residenziale ""Villa 80"" - via G. Matteotti","13° 23' 47.37'' E, 45° 48' 39.32'' N"
009 - Parcheggio Palestra comunale,Capo di Sopra - via Duca d'Aosta,"13° 23' 02.84'' E, 45° 49' 07.03'' N"
010 - Area parcheggio Municipio,Capoluogo - Piazza Colpo 1,"13° 23' 42.79'' E, 45° 48' 57.65'' N"
