Denominazione,Indirizzo,Coordinate
001 - frazione Lestans ,del Tramit  - Strada Comunale del Tramit,"12° 53' 20.77'' E, 46° 09' 50.21'' N"
002 - frazione Solimbergo,Solimbergo  - Via Vecchia,"12° 49' 14.31'' E, 46° 10' 32.89'' N"
003 - SEQUALS Casa di riposo,Capoluogo - Via Facchina,"12° 50' 12.18'' E, 46° 10' 18.36'' N"
004 - Zona Artigianale Lestans,Lestans - Via dell'Artigianato,"12° 53' 21.21'' E, 46° 09' 02.92'' N"
005 - Incrocio via Dante via Risorgimento,LESTANS - VIA DANTE,"12° 53' 12.53'' E, 46° 09' 39.45'' N"
006 - via della Betulle,LESTANS - VIA DELLE BETULLE,"12° 53' 22.41'' E, 46° 09' 23.54'' N"
007 - Corte Morea,LESTANS - VIA DELLA ROGGIA,"12° 53' 38.60'' E, 46° 09' 48.18'' N"
008 - Parcheggio Cimitero,CAPOLUOGO - VIA RIMEMBRANZA,"12° 49' 59.08'' E, 46° 09' 43.37'' N"
009 - Centro Sportivo Carnera,CAPOLUOGO - VIA PRIMO CARNERA,"12° 49' 52.26'' E, 46° 10' 02.78'' N"
010 - Parcheggio Scuola materna Via Odorico,CAPOLUOGO - VIA ODORICO ODORICO,"12° 49' 43.47'' E, 46° 09' 42.94'' N"
011 - Piazza Municipio,CAPOLUOGO - Piazza Municipio,"12° 49' 38.66'' E, 46° 09' 57.83'' N"
