Denominazione,Indirizzo,Coordinate
002 - Parcheggio Privato Via Maron,Prata di Sopra - Via Maron,"12° 35' 10.71'' E, 45° 54' 10.19'' N"
003 - Area Verde Sede ANA,Prata di Sotto - Via Parini,"12° 35' 23.53'' E, 45° 53' 34.91'' N"
004 - Piazza Wanda Meyer,Prata di Sotto - Piazza Wanda Meyer,"12° 35' 46.82'' E, 45° 53' 35.82'' N"
006 - Parcheggio Chiesa San Giovanni,Prata di Sotto - Via San Giovanni,"12° 36' 02.26'' E, 45° 53' 12.06'' N"
008 - Parcheggio Borgata Peressine,Borgata Peressine - Borgata Peressine,"12° 35' 33.87'' E, 45° 52' 12.38'' N"
010 - Area Pro Loco Villanova,Villanova - Piazza Papa Luciani,"12° 34' 12.90'' E, 45° 51' 43.77'' N"
"012 - Parcheggio BAR ""5 punto 0""",Villanova - Via Della Chiesa,"12° 33' 52.05'' E, 45° 52' 17.88'' N"
013 - Parcheggio Piazza Mazzini,Ghirano - Piazza Mazzini,"12° 33' 57.62'' E, 45° 50' 36.95'' N"
014 - Parcheggio Via Gorizia,Puja - Via Gorizia,"12° 34' 09.66'' E, 45° 52' 53.07'' N"
015 - Parcheggio Poliambulatorio,Prata di Sotto - Via Raffaello Sanzio,"12° 36' 00.29'' E, 45° 53' 44.54'' N"
016 - Parcheggio scuola elementare di Villanova,"Villanova - Via Della Chiesa, 68","12° 34' 08.91'' E, 45° 51' 53.94'' N"
017 - Parcheggio Stadio comunale e PalaPrata,Prata di Sotto - Via Alessandro Volta 34,"12° 35' 05.51'' E, 45° 52' 53.94'' N"
018 - Area verde - Pluriuso,"Prata di Sopra - Via San Simone, 8","12° 36' 01.17'' E, 45° 54' 10.13'' N"
