Denominazione,Indirizzo,Coordinate
001 - Parco Col Alto,Sacile-centro - via Col Alto,"12° 30' 52.07'' E, 45° 57' 57.56'' N"
002 - Via Venzone,loc. San Giovanni del Tempio - via Venzone,"12° 31' 56.11'' E, 45° 57' 49.24'' N"
004 - Area Monumento dei Caduti,Sacile-centro - via Meneghini,"12° 30' 07.92'' E, 45° 57' 24.10'' N"
005 - Piazza Libertà-Stazione FF.SS.,Sacile-centro - piazza Libertà,"12° 29' 52.62'' E, 45° 56' 55.77'' N"
007 - Area via Abruzzi,loc. San Odorico - Piazza Abruzzi,"12° 30' 43.38'' E, 45° 56' 51.87'' N"
008 - Parco Brenelli,loc. San Giovanni di Livenza - Via San Giacomo,"12° 31' 06.67'' E, 45° 54' 41.63'' N"
010 - Piazzola Ecologica,loc. San Giovanni di Livenza - Strada Interna San Giovanni di Livenza,"12° 31' 21.38'' E, 45° 55' 32.73'' N"
011 - Parco via Po,loc. San Michele - Via Po,"12° 29' 21.65'' E, 45° 57' 16.32'' N"
012 - Parco Balliana,Sacile-centro - Viale Zancanaro ,"12° 30' 27.75'' E, 45° 57' 27.01'' N"
013 - Area esterna Cimitero S. Odorico,loc. San Odorico - Viale del Cimitero,"12° 30' 10.38'' E, 45° 56' 43.51'' N"
014 - Area Sosta Complesso Scolastico San Giovanni del Tempio,San Giovanni del Tempio - stada Bassa delle Valli,"12° 31' 36.83'' E, 45° 57' 55.39'' N"
025 - Parcheggio Piccin,Sacile-centro - Via Piccin,"12° 30' 05.14'' E, 45° 57' 25.81'' N"
026 - Parcheggio campo sportivo XXV Aprile,Sacile-centro - via Malvignu,"12° 31' 03.45'' E, 45° 57' 32.99'' N"
028 - Area Via Latisana,loc. San Giovanni del Tempio - Via Latisana,"12° 31' 52.16'' E, 45° 57' 58.12'' N"
029 - Area Via Pordenone,loc. San Giovanni del Tempio - Via Pordenone,"12° 32' 01.70'' E, 45° 57' 52.30'' N"
031 - Area via Val d'Aosta,loc. San Odorico - Via Val d'Aosta,"12° 30' 39.56'' E, 45° 56' 49.48'' N"
033 - Area Via Gobetti,loc. San Michele - Via Gobetti,"12° 29' 08.22'' E, 45° 57' 22.55'' N"
035 - Area Artigianale Geromina,loc. San Odorico - Zona Artiginale Geromina,"12° 30' 58.27'' E, 45° 56' 32.49'' N"
036 - Area Via dei Tigli,loc. Cavolano - Via dei Tigli,"12° 30' 28.77'' E, 45° 55' 49.58'' N"
038 - Area via Dall'Ava,loc. Villorba - Via Dall'Ava,"12° 30' 02.78'' E, 45° 57' 40.56'' N"
046 - Area via Cavolano,loc. Cavolano - via Cavolano,"12° 30' 29.92'' E, 45° 55' 53.11'' N"
057 - area via Vicenza,loc. Cornadella - via Vicenza,"12° 28' 48.13'' E, 45° 56' 58.68'' N"
058 - Area esterna scuola infanzia Archimede,loc. Cornadella - Strada Cornadella,"12° 28' 26.51'' E, 45° 56' 51.01'' N"
060 - Area  Vistorta,loc. Vistorta - Strada Vistorta,"12° 28' 31.14'' E, 45° 56' 11.62'' N"
061 - Area Via Ronche,loc. Ronche - strada per Ronche,"12° 29' 33.21'' E, 45° 57' 42.00'' N"
062 - Area Schiavoi,loc. schiavoi - via dei Salici,"12° 30' 18.51'' E, 45° 56' 09.48'' N"
063 - Area via Misurina,loc. Cornadella - via Misurina,"12° 29' 25.73'' E, 45° 57' 04.53'' N"
